lat,amenity,lon,name
30.5110908,hospital,-97.7137064,Round Rock Medical Center
30.6265616,hospital,-97.6881279,Georgetown Hospital
30.2115988,hospital,-97.7916722,The Oaks Treatment Center
30.2709189,hospital,-97.7958328,Renaissance Womens Center of Austin
30.3121512,hospital,-97.7430616,The Specialty Hospital of Austin
30.3382619,hospital,-97.6772267,Summit Hospital of Central Texas
30.363375,place_of_worship,-97.3751845,Cornerstone Baptist Church
30.1079948,place_of_worship,-97.3111033,Macedonia First Baptist Church
30.1149389,place_of_worship,-97.3199924,First Baptist Church
30.1082726,place_of_worship,-97.3122144,New Faith Missionary Baptist Church
30.1096566,place_of_worship,-97.3184818,Ascension Catholic Church
30.134659,place_of_worship,-97.5613878,Blessed Juan Diego Catholic Church
30.1071146,place_of_worship,-97.3171627,Church of Christ
30.1235498,place_of_worship,-97.3202703,Church of the Nazarene
30.1096613,place_of_worship,-97.3197146,Prince of Peace Lutheran Church
30.0860463,place_of_worship,-97.8747277,Hays Hill Baptist Church
30.1974276,place_of_worship,-98.1730693,Sunset Canyon Baptist Church
30.0535451,place_of_worship,-98.0944544,Wimberley Church of Christ
30.1968739,place_of_worship,-98.0194542,Holy Spirit Episcopal Church
30.031046,place_of_worship,-98.1013987,The Chapel in the Hills Community Church
29.9892836,place_of_worship,-97.8788078,First Baptist Church
30.2090942,place_of_worship,-98.1441798,Dripping Springs Community Church
29.9896586,place_of_worship,-98.1119541,Trinity Chapel Church
30.2463162,place_of_worship,-98.0386219,Womens Aglow Fellowship of South Austin Church
30.3144768,place_of_worship,-97.7171931,Trinity Chapel Church
30.4563089,place_of_worship,-97.9786251,Rolling Hills Community Church
30.2482413,place_of_worship,-97.7496071,Grace United Methodist Church
30.3032582,place_of_worship,-97.731956,Trinity: Hyde Park United Methodist Church
30.3129801,place_of_worship,-97.7197337,Trinity United Methodist Church
30.2832635,place_of_worship,-97.7430611,The Church of Jesus Christ of Latter-day Saints
30.1396585,place_of_worship,-97.5958332,The Church of Jesus Christ of Latter-day Saints
30.4452533,place_of_worship,-97.8060409,Hope Presbyterian Church
30.4824231,place_of_worship,-97.6477836,Round Rock Korean Presbyterian Church
30.2882659,place_of_worship,-97.7505555,Redeemer Presbyterian Church
30.228264,place_of_worship,-97.8536179,Shepherd of the Hills Presbyterian Church in Oak Hill
30.3085787,place_of_worship,-97.763381,Westminster Presbyterian Church
30.2963593,place_of_worship,-97.682802,Alpha Seventh Day Adventist Church
30.1974327,place_of_worship,-97.7791718,South Austin Seventh Day Adventist Church
30.2213209,place_of_worship,-97.7777831,The Unitarian Universalist Fellowship Church of Austin
30.3679816,place_of_worship,-97.7061186,Calvary Chapel of Austin Church
30.3049255,place_of_worship,-97.7322307,Community Church of God
30.2265984,place_of_worship,-97.7802832,Cornerstone Deaf Fellowship Church
30.2340969,place_of_worship,-97.870285,Crossroads Community Church
30.2318739,place_of_worship,-97.9286194,Fellowship of the Hills Church
30.2371361,place_of_worship,-97.8446494,Global Missions Fellowship Church
30.1899349,place_of_worship,-97.5599994,Haynie Chapel United Church
30.2565984,place_of_worship,-97.6794478,Praise Tabernacle Community Church
30.3960359,place_of_worship,-97.8002864,Imani Community Church
30.2629869,place_of_worship,-97.7055597,Saint Julia Catholic Church
30.1643778,place_of_worship,-97.814172,Saint Pauls Catholic Church
30.344094,place_of_worship,-97.775285,Saint Theresa Catholic Church
30.1196584,place_of_worship,-97.6955578,San Francisco Catholic Church
30.2696545,place_of_worship,-97.7425069,Capital City Church of Christ
30.2498807,place_of_worship,-97.752442,Church of Christ
30.2097437,place_of_worship,-97.7750641,Fairview Church of Christ
30.3235382,place_of_worship,-97.734179,North Loop Church of Christ
30.2371525,place_of_worship,-97.8555626,Oak Hill Church of Christ
30.3209177,place_of_worship,-97.6684044,University Hills Church of Christ
30.3090963,place_of_worship,-97.6802819,Wheless Lane Church of Christ
30.2579871,place_of_worship,-97.7005595,Springdale Church of God in Christ
30.31104,place_of_worship,-97.7522284,Mims Chapel Church of God in Christ
30.2280026,place_of_worship,-97.7015818,United Church of God in Christ
30.3293688,place_of_worship,-97.7280679,Grace Church of the Nazarene
30.2966706,place_of_worship,-97.7685878,Good Shepherd Episcopal Church
30.2393764,place_of_worship,-97.7350046,Holy Trinity Episcopal Church
30.2049579,place_of_worship,-97.8061536,South Austin Church of the Nazarene
30.2579846,place_of_worship,-97.888619,Saint Christophers Episcopal Church
30.2768749,place_of_worship,-97.7591793,Saint Francis Episcopal Church
30.2829395,place_of_worship,-97.6737187,Saint James Episcopal Church
30.4589818,place_of_worship,-97.6177848,Saint Pauls Episcopal Church
30.4343649,place_of_worship,-98.012792,Saint Peters Episcopal Church
30.2065983,place_of_worship,-97.8338951,Child Evangelism Fellowship Church
30.5096416,place_of_worship,-97.8630678,Child Evangelism Fellowship Church
